City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Albion,US,66.24,light intensity drizzle,42.2431,-84.753,Days Inn by Wyndham Albion
331,Nanortalik,GL,39.13,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
332,Sandpoint,US,52.72,broken clouds,48.2766,-116.5533,Hotel Ruby Sandpoint/Ponderay
333,Luganville,VU,78.75,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
334,Usinsk,RU,68.88,clear sky,65.9939,57.5281,Dobro Pozhalovaty
335,Embu,BR,62.11,overcast clouds,-23.6489,-46.8522,Hotel Rancho Silvestre
336,Dubbo,AU,50.13,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
337,Bengkulu,ID,83.59,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
338,Varniai,LT,58.51,overcast clouds,55.7406,22.3644,Lūkstas Rest Park
339,Holme,DK,58.57,overcast clouds,56.1138,10.1725,Hotel Ritz Aarhus City
340,Danane,CI,71.01,overcast clouds,7.2596,-8.155,Lmd
341,Pakxan,LA,85.19,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
342,Ust-Tsilma,RU,68.29,overcast clouds,65.441,52.1498,U Praskov'i
343,Turukhansk,RU,51.35,broken clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
344,Morehead,US,68.99,overcast clouds,37.2711,-87.1764,CCI Express Inn
345,Suzun,RU,68.9,broken clouds,53.7841,82.3116,Akhpkhakhakhakha
346,Wilmington,US,75.85,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
